// Created by Greg Landrum, October 2006
// Updated at RDKit UGM 2022 by Alex Müller, Jan Wollschläger and Rasmus Mejborg Borup
//
//  Format: Name\tSmarts\tLabel\tRemovalReaction (optional)
//
//  NOTES:
//     1) be sure to make the distinguishing feature of the functional group
//        the first atom in the pattern
//     2) the RemovalReaction (if present) is used to remove the functional
//        group from the molecule. This is necessary for cases like boronic
//        ethers where the full functional group cannot be specified in SMARTS.
//

AcidChloride	[#6;X3;!R](=[#8])[#17]
  Isothiocyanate.Aromatic	[$([#7]-!@[#6;a])](=!@[#6]=!@[#16])
  Isothiocyanate.Aliphatic	[$([#7]-!@[#6;A])](=!@[#6]=!@[#16])
	
Alcohol	[#8;D1;H1;$([#8]-!@[#6;!$([#6]=!@[!#6!#1])])]
  Alcohol.Aromatic	[#8;D1;H1;$([#8]-!@[#6;a;!$([#6;a]=!@[!#6!#1])])]
  Alcohol.Aliphatic	[#8;D1;H1;$([#8]-!@[#6;A;!$([#6;A]=!@[!#6!#1])])]
	
Aldehyde	[#6;H1;D2;!$([#6][!#6;!#1])]=[#8]
  Aldehyde.Aromatic	[#6;a;H1;D2;!$([#6][!#6;!#1])]=[#8]
  Aldehyde.Aliphatic	[#6;A;H1;D2;!$([#6][!#6;!#1])]=[#8]
	
Halogen	[$([#9,#17,#35,#53][#6]);!$([#9,#17,#35,#53][#6](=[!#6]))]
  Halogen.Aromatic	[$([#9,#17,#35,#53][#6;a]);!$([#9,#17,#35,#53][#6](=[!#6]))]
  Halogen.Aliphatic	[$([#9,#17,#35,#53][#6;A]);!$([#9,#17,#35,#53][#6](=[!#6]))]
  Halogen.Fluorine	[$([#9][#6]);!$([#9][#6](=[!#6]))]
  Halogen.Fluorine.Aliphatic	[$([#9][#6;A]);!$([#9][#6](=[!#6]))]
  Halogen.Fluorine.Aromatic	[$([#9][#6;a]);!$([#9][#6](=[!#6]))]
  Halogen.Fluorine.Trifluoromethyl	[#9][#6;D4;H0]([#9])[#9]
  Halogen.Chlorine	[$([#17][#6]);!$([#17][#6](=[!#6]))]
  Halogen.Chlorine.Aliphatic	[$([#17][#6;A]);!$([#17][#6](=[!#6]))]
  Halogen.Chlorine.Aromatic	[$([#17][#6;a]);!$([#17][#6](=[!#6]))]
  Halogen.Bromine	[$([#35][#6]);!$([#35][#6](=[!#6]))]
  Halogen.Bromine.Aliphatic	[$([#35][#6;A]);!$([#35][#6](=[!#6]))]
  Halogen.Bromine.Aromatic	[$([#35][#6;a]);!$([#35][#6](=[!#6]))]
  Halogen.Bromine.BromoKetone	[#35;$([#35][#6;H2;D2][#6](=[#8])[#6])]
  Halogen.Iodine	[$([#53][#6]);!$([#53][#6](=[!#6]))]
  Halogen.Iodine.Aliphatic	[$([#53][#6;A]);!$([#53][#6](=[!#6]))]
  Halogen.Iodine.Aromatic	[$([#53][#6;a]);!$([#53][#6](=[!#6]))]
  	
Azide	[$([#7;D1]=[#7;D2]=[#7;D2]),$([#7;D1]-[#7;D2]#[#7;D2])]
  Azide.Aromatic	[$([#7D1]=[#7D2]=[#7D2][#6;a]),$([#7D1]-[#7D2]#[#7D2][#6;a])]
  Azide.Aliphatic	[$([#7D1]=[#7D2]=[#7D2][#6;A]),$([#7D1]-[#7D2]#[#7D2][#6;A])]
	
Nitro	[#7;H0;$([#7][#6]);D3](~[#8;D1])~[#8;D1]
  Nitro.Aromatic	[#7;H0;$([#7][#6;a]);D3](~[#8;D1])~[#8;D1]
  Nitro.Aliphatic	[#7;H0;$([#7][#6;A]);D3](~[#8;D1])~[#8;D1]
	
CarboxylicEster	[#6;D3](=[#8])!@[#8;D2]!@[#6]
  CarboxylicEster.Aromatic	[#6;D3;a](=[#8])!@[#8;D2]!@[#6]
  CarboxylicEster.Aliphatic	[#6;D3;A](=[#8])!@[#8;D2]!@[#6]
	
Lactone	[#6;D3;R](=[#8])@[#8;R;D2]@[#6;R]
  	
Sulfoxide	[#16](=[#8;D1])
  Sulfoxide.Sulfone	[#16](=[#8;D1])(=[#8;D1])
    Sulfoxide.Sulfone.Aliphatic	[#16](=[#8;D1])(=[#8;D1])[#6;A]
    Sulfoxide.Sulfone.Aromatic	[#16](=[#8;D1])(=[#8;D1])[#6;a]
  Sulfoxide.Sulfone.Sulfonamide	[#16;D4](=[#8;D1])(=[#8;D1])([#7])[#6,#1]
    Sulfoxide.Sulfone.Sulfonamide.Aliphatic	[#16;D4](=[#8;D1])(=[#8;D1])([#7])[#6;A]
    Sulfoxide.Sulfone.Sulfonamide.Aromatic	[#16;D4](=[#8;D1])(=[#8;D1])([#7])[#6;a]
  Sulfoxide.Sulfone.Sulfamide	[#16;D4](=[#8;D1])(=[#8;D1])([#7])[#7]
    Sulfoxide.Sulfone.Sulfamide.Aliphatic	[#16;D4](=[#8;D1])(=[#8;D1])([#7])[#7;A]
    Sulfoxide.Sulfone.Sulfamide.Aromatic	[#16;D4](=[#8;D1])(=[#8;D1])([#7])[#7;a]
  Sulfoxide.Sulfone.SulfonicAcid	[#16;D4](=[#8;D1])(=[#8;D1])([#8;H1,-])[#6,#1]
    Sulfoxide.Sulfone.SulfonicAcid.Aliphatic	[#16;D4](=[#8;D1])(=[#8;D1])([#8;H1,-])[#6;A]
    Sulfoxide.Sulfone.SulfonicAcid.Aromatic	[#16;D4](=[#8;D1])(=[#8;D1])([#8;H1,-])[#6;a]
  Sulfoxide.Sulfone.SulfonylChloride	[#16;D4](=[#8;D1])(=[#8;D1])([#17])[#6,#1]
    Sulfoxide.Sulfone.SulfonylChloride.Aliphatic	[#16;D4](=[#8;D1])(=[#8;D1])([#17])[#6;A]
    Sulfoxide.Sulfone.SulfonylChloride.Aromatic	[#16;D4](=[#8;D1])(=[#8;D1])([#17])[#6;a]
	
Imine	[#6](=[#7][#1,#6])([#1,#6])[#6]
  Imine.Aldo.Primary	[#6](=[#7][#1])([#1])[#6]
  Imine.Aldo.Secondary	[#6](=[#7][#6])([#1])[#6]
  Imine.Keto.Primary	[#6](=[#7][#1])([#6])[#6]
  Imine.Keto.Secondary	[#6](=[#7][#6])([#6])[#6]
	
Organometal	[#6]-[Mg,Si,Sn,Zn,Hg]
  Organometal.Magnesium	[#6]-[Mg]
  Organometal.Silicon	[#6]-[Si]
  Organometal.Tin	[#6]-[Sn]
  Organometal.Zinc	[#6]-[Zn]
  Organometal.Mercury	[#6]-[Hg]
	
Alkene	[$([#6]!@[#6])]=[#6]
  Alkene.Aliphatic	[$([#6]!@[#6;A])]=[#6]
  Alkene.Aromatic	[$([#6]!@[#6;a])]=[#6]
  Alkene.Terminal	[$([#6]!@[#6])]=[#6;D1;H2]
  Alkene.Conjugated	[$([#6]!@[#6]=[*])]=[#6]
	
Alkyne	[#6][#6]#[#6]
  Alkyne.Terminal	[#6][#6]#[#6;D1;H1]
  Alkyne.Conjugated	[#6][#6]#[#6;D2;H0][#6]!-[*]
	
Alkyne	[$([#6]!@[#6])]#[#6]
  Alkyne.Aliphatic	[$([#6]!@[#6;A])]#[#6]
  Alkyne.Aromatic	[$([#6]!@[#6;a])]#[#6]
  Alkyne.Terminal	[$([#6]!@[#6])]#[#6;D1;H1]
	
Amide	[$([#6;D3]);!$([#6][!#6])](=[#8])!@[#7]
  Amide.Primary	[$([#6;D3]);!$([#6][!#6])](=[#8])!@[#7;H2;D1]
    Amide.Primary.Aliphatic	[$([#6;D3]);$([#6][#6;A])](=[#8])!@[#7;H2;D1]
    Amide.Primary.Aromatic	[$([#6;D3]);$([#6][#6;a])](=[#8])!@[#7;H2;D1]
  Amide.Secondary	[$([#6;D3]);!$([#6][!#6])](=[#8])!@[#7;H1;D2]
    Amide.Secondary.Aliphatic	[$([#6;D3]);$([#6][#6;A])](=[#8])!@[#7;H1;D2]
    Amide.Secondary.Aromatic	[$([#6;D3]);$([#6][#6;a])](=[#8])!@[#7;H1;D2]
  Amide.Tertiary	[$([#6;D3]);!$([#6][!#6])](=[#8])!@[#7;H0;D3]
    Amide.Tertiary.Aliphatic	[$([#6;D3]);$([#6][#6;A])](=[#8])!@[#7;H0;D3]
    Amide.Tertiary.Aromatic	[$([#6;D3]);$([#6][#6;a])](=[#8])!@[#7;H0;D3]
	
Lactam	[#6;D3;R](=[#8])@[#7;R]@[#6;R]
	
Ether	[#8;D2](!@[#6;D2])!@[#6;D2]
  Ether.Aliphatic	[#8;D2](!@[#6;D2])!@[#6;D2;A]
  Ether.Aromatic	[#8;D2](!@[#6;D2])!@[#6;D2;a]
	
Methoxy	[#6;D1;H3][#8;D2;0]!@[$([#6]);!$([#6]=[!#6])]
	
Acetal	[#8;D2][#6;D4;!$([#6][#8]~[!#6])][#8;D2]
Amidine	[#7;D3][#6]=[#7;D2]
Aminal	
Azo	
Carbamate	
Carbonate	
CarboxylicAnhydride	
Chloroformate	
Disulfide	
Epoxide	
Guanidine	
Hemiacetal	
Hemiaminal	
Hydrazide	
Azine	
Hydrazine	
Hydrazone	
Hydroperoxide	
Imide	
Isonitrile

Ketone	[$(C-!@[#6])](=O)[#6]
  Ketone.Aliphatic	 [$(C-!@[C])](=O)[#6]
  Ketone.Aromatic	[$(C-!@[a])](=O)[#6]

Nitrile	[$(C-!@[#6])](#N)
  Nitrile.Aliphatic	[$(C-!@C)](#N)
  Nitrile.Aromatic	[$(C-!@c)](#N)

Acylcyanide	[$([#6]-!@[#6])](=O)C#N
  Acylcyanide.Aliphatic	[$([#6]-!@C)](=O)C#N
  Acylcyanide.Aromatic	[$([#6]-!@c)](=O)C#N

Nitroso	
Oxazine	
Oxime	
Peroxide	
Thioacetal	
Dithioacetal	
Thioamide	
Thiocarbamate	
Thiocarbonate	
Thioester	S([#6])[$(C-!@[#6])](=O)
Thioester.Aliphatic	S([#6])[$(C-!@C)](=O)
Thioester.Aromatic	S([#6])[$(C-!@c)](=O)
Thioether (sulfide)

Thiol	[S;H1;$(O-!@[#6;!$(C=!@[O,N])])]
  Thiol.Aliphatic	[[S;H1;$(O-!@[C;!$(C=!@[O,N])])]
  Thiol.Aromatic	[S;H1;$(S-!@c)]

Thiophene	
Thiourea	
Urea	
Xanthate	
Lactam	
Lactone	
SpiroRing	
Piperazine	
Aniline	
Indole	
Oxazole	
Isoxazole	
Oxadiazole	
Oxadiazole	
Oxadiazole	
Furazan	
Imidazole	
Pyrazole	
Triazole	
Triazole	
Tetrazole	
Pentazole	

Phenyl	c1cccc1[$(c-!@[#6])]
  Phenyl.Aliphatic	c1cccc1[$(c-!@C)]
  Phenyl.Aromatic	c1cccc1[$(c-!@c)]

Phosphonic acid	[$(P-!@[#6])]([#8])([#8])=O
  Phosphonic acid.Aliphatic	[$(P-!@C)]([#8])([#8])=O
  Phosphonic acid.Aromatic 	[$(P-!@c)]([#8])([#8])=O

Phosphate	[$(O-!@[#6])]P([#8])([#8])=O
  Phosphate.Aromatic	[$(O-!@c)]P([#8])([#8])=O
  Phosphate.Aliphatic	[$(O-!@C)]P([#8])([#8])=O

Phosphodiester	[$(O-!@[#6])]P([#8][#6])([#8])=O
  Phosphodiester.Aliphatic	[$(O-!@C)]P([#8][#6])([#8])=O
  Phosphodiester.Aromatic	[$(O-!@c)]P([#8][#6])([#8])=O

Thiazole	
Furan	
Isothiazole	
Pyridine	
Pyrrolidine	
Pyrrole	
Piperidine	
